id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year
83235,False,Ahvaz,Wednesday 09AM,ولی یه مشکل داره که ال سی دی شکسته می باشد  تمام وسایلش هستش تخفیف  داده میشود,4,NA,mobile,600000,گوشی اینتکس ۶اینچ ۸هسته ای,NA,NA
83402,False,Tehran,Saturday 09AM,درحدنو وسالم بدون هنگ,2,NA,mobile,4000000,iphone4,NA,NA
83455,True,Shiraz,Friday 10AM,کاملا سالم ۵ماه بیشتر کار نکرده ....فقط پیام بدین با تشکر از برنامه دیوار,2,NA,mobile,430000,honor 4C,NA,NA
83490,True,Karaj,Saturday 05PM,تمیز و سالم فقط یه تو رفتگی داره طبق عکس,2,NA,mobile,1350000,ایفون ٦ گری ١٦,NA,NA
83576,True,Isfahan,Saturday 09AM,"گوشی سفید رنگ
32 گیگ
بدون گارانتی
بهمراه گلس و گارد اصلی
گوشی با اکبند تفاوتی نداره و 1 ماه کار کرده بدون نقطه حتی.فقط فروش فوری
تخفیف جزیی و مهلت تست برای خریدار واقعی
در صورت جواب ندادن 4 عصر به بعد تماس گرفته شود تشکر",0,NA,mobile,1170000,lg v10...,NA,NA
83585,True,Tehran,Thursday 11AM,سلام گوشی بسیار تمیز یک ماه خریداری شده,3,NA,mobile,1300000,گوشی سامسونگ s 6edge,NA,NA
83989,True,Karaj,Saturday 08AM,گوشی موبایل طرح آیفون 6پلاس صفر با کارتن شارژر هنزفری دوربین 8 مگاپیکسل حافظه داخلی 16گیگ محصول مشترک کالیفرنیا و چین,3,NA,mobile,365000,گوشی موبایل طرح آیفون 6پلاس,NA,NA
84161,True,Qom,Sunday 10PM,"سامسونگ نوت 5 
Gold
64GB
آک
تک سیم",1,NA,mobile,1650000,نوت 5 <آک>64GB,NA,NA
84193,False,Tehran,Saturday 04AM,"نیم نگاه
سیستم عامل : اندروید$NUMابعاد صفحه : 5.7 اینچ حافظه داخلی : 32 گیگابایت باتری : لیتیوم پلیمری 3000 میلی آمپر سیم کارت : دارد دوربین : 16 مگاپیکسل ابعاد گوشی : 7.6 × 76.1 ×$NUMمیلیمتر وزن : 171 گرم شبکه ارتباطی : 4G با گارانتی",0,NA,web,2150000,سامسونگ  Galaxy Note5,NA,NA
84257,True,Ahvaz,Tuesday 06PM,"ایفون سیکس اس گلد
گوشی باز نشده...پلاستیکشم روشه به این خاطر عکس از خودش نذاشتم
گوشی پلمه...قیمتش توی بازار ٢٥٠٠
من ١٥٠زیر قیمت میدم LLAهست.
مقطوع",3,NA,mobile,2350000,iphone 6s plus,NA,NA
84451,True,Shiraz,Tuesday 03PM,2ماه نیس خریداری شده واقعا نو مقطوع,1,NA,mobile,1200000,کوشی p9,NA,NA
84476,False,Tehran,Thursday 09AM,بدون کارتون و شارژر و هنسفری,0,NA,mobile,-1,هوآوویy511,NA,NA
84656,True,Ahvaz,Monday 08AM,"گوشی کاملا سالم بدون خط و خش . دوسیم ۴جی دارای حسگر اثرانگشت درحد اک از روز اول گلس و قاب داشته کمتر سه ماه کارکردهدارای گارانتی
با مشتری واقعی کنار میام",0,NA,web,1180000,گوشی سامسونگ A$NUMدوسیم 4g,NA,NA
84818,True,Tehran,Thursday 04AM,"آیفون 6  نسخه 64 گیگ رنگ گری(خاکستری) LLA بسیار تمییز در حد آک
لوازم کامل.
لطفا فقط تماس بگیرید.",0,NA,web,-1,آیفون 6 64,NA,NA
84968,False,Kermanshah,Sunday 02PM,سلام گوشی a8حافظه داخلی 32GBدارای قفل اثر انگشت دارای دو قاب ژله ای و آی فیس ویک کابل او تی جی هندزفری هنوز باز نشده خودم دو ماه پیش 1450گرفتم گارانتی هم داره باور کنید با نو هیچ فرقی نداره,3,NA,mobile,1150000,گوشی A8در حد آکبند,NA,NA
85104,False,Qom,Tuesday 01PM,"باسلام
گوشی بسیاز تمییز بدون خط و خش . تک سیم 4جی- 16گیگ حافظه داخلی -دوربین8
با کارتن  و شارژر.به مشتری واقعی هم تخفیف داده میشه. 
باتشکر از دیوار",0,NA,web,380000,htc amaze 4g,NA,NA
85118,True,Mashhad,Saturday 03PM,سلام این گوشیو  یک ماه خریدم درحد نو.کارتون و لوازم جانبی کامل است. بدون هیچ خط و خش. گلس و گارد هم داره.,3,NA,mobile,700000,گوشی موبایل گلگسی A5,NA,NA
85222,True,Tehran,Tuesday 12PM,"آیفون 6 مشکی
16 گیگ
بدون حتی یک خط ریز.به مغازه دار نمیدم چون جای نو میفروشن.لوازمش رو هم باز نکردم از همون اول چون داشتم.",1,NA,mobile,1400000,آیفون 6 بدون کوچکترین خط,NA,NA
85391,False,Tehran,Saturday 08AM,آیفون 6s رزگلد 64 فقط چهار ماه کار کرده ، گوشی بدون هیچ خط و خش و ضربه خوردگی کاملا تضمینی ، سر قیمت با خریدار واقعی کنار هم میام,5,NA,mobile,2000000,Iphone 6s 64G,NA,NA
85636,True,Ahvaz,Saturday 12PM,گوشی سالام شرطی میدم بدون تعمیر فقط تلگرام هستم$NUM,0,NA,mobile,6300000,سامسونگ جی ۷,NA,NA
85651,True,Tabriz,Tuesday 01PM,"با سلام 
گوشئ کاملا سالم با ایواس ارتقاع یافته بدونه هیچ گونه عیب وایرادئ تخفیف هم میدم پائ معامله معاوضه نمیکنم یه ذره خط و خش بغلاش داره فقط",0,NA,mobile,380000,ایفون 4s  شانزده گیگ,NA,NA
85661,True,Mashhad,Monday 12AM,ازنظرکارایی عالی تمیزتمیزفقط روی شیشه ال سیدیش کمی تراک داره که هیچ مشکلی نداره فقط تراکحافظه8برای همین کم زدم مقطوع مقطوع کاردپشت گوشی فلزی ،،،فوری,3,NA,mobile,150000,گوشی سامسونگs7,NA,NA
85679,False,Qom,Tuesday 04AM,"گوشی سالم هستش به شرط میدم کسی چکی هم بخواد میدم 
چک ۳ماهه قیمت دو میلیون وششصد هزار تومان",0,NA,mobile,2200000,مدل اس سون ایج گلد,NA,NA
85882,True,Tehran,Friday 07AM,"فقط تماس اس جواب داده نمی شود 
16گيگ شارژر و هندزفری اصلی .",4,NA,mobile,780000,اپل 5s,NA,NA
85895,True,Tehran,Sunday 07PM,نونو یک ماه خریده شده پای خرید یک تخفیف هم داده می شود,0,NA,mobile,1000000,نوت تیری,NA,NA
85992,True,Shiraz,Tuesday 06AM,کاملا سالم همراه با شارزر و هنسوری بک کاور رنگ گلد خط و خش روی صحفه و پشتش اصلا ندارد فقط یه خورده خش روی قسمت بامپرش داره,1,NA,mobile,780000,اپل٥s قیمت عالی,NA,NA
86107,False,Ahvaz,Monday 05AM,"گوشی کاملا سالم کم کار کرده سه ماه همراه با کلش تان هشت مکث قیمت مقطو 4G,میباشد",2,NA,mobile,350000,گوشی هواوی  G620s Lo2,NA,NA
86136,True,Tehran,Saturday 05PM,"گوشی ۶۴ گیگ.کاملا سالم .مشکی.لوازم کامل و آکبند.
گوشی تمیز .کمی زدگی داره.تک سیم کارت
تعویض ندارم باهیچ چیزی.به پیامک اصلا جواب نمیدم",1,NA,mobile,1100000,گوشی galaxy S6 .مشکی ۶۴ گیگ,NA,NA
86393,True,Karaj,Tuesday 05PM,"دوعدد گوشی سالم که در عکس مشخصه
الان با این قیمت اوراقیشم نمیدن
فاکتورم میدم که خیالتون راحت باشه
با تشکر از دیوار",2,NA,mobile,50000,گوشی موبایل سالم,NA,NA
86597,True,Kermanshah,Monday 03AM,"گوشی هواوی p7 اصلی تک سیمکارت 16گیگ حافظه داخلی،بدون هیچ خط و خشی،یک ماهه خریدمش حتی ی خش ریزم نداره چون خیلی به گوشی حساسم همراه یک گارد آی فیس اصلی 
اینترنت 4G
قیمتم مقطوعه 
لطفا فقط اس ام اس بدین اونم خریدار 
با تشکر از دیوار",3,NA,mobile,600000,گوشی هواوی p7 با اینترنت 4G,NA,NA
86604,False,Shiraz,Wednesday 04PM,"گوشی موبایل به همراه جعبه فاکتور و هندزفری و شارژر 
عالی و تمیز بهمراه برنامه های کاربردی",1,NA,mobile,200000,Huawei Y5,NA,NA
86627,True,Mashhad,Wednesday 02PM,گوشی ده روز کار کرده واقعا استثنایی بدون خش تعویضم میکنم فقط با گوشی های note .وa7 2016,4,NA,mobile,950000,گوشی j7 prime,NA,NA
86786,True,Tehran,Saturday 10AM,"با سلام 
دستگاه 5 ماه هستش دارم و پلمپ میباشد رنگ گری و 64 گیگ است دستگاه تا حالا باز نشده به خریدار تخفیف خوب میدهم 24 ساعت مهلت تست هم میدهم.",3,NA,mobile,2250000,آیفون 6s گری نو,NA,NA
87096,True,Tehran,Friday 05PM,"iphone 6s 64 gray lla
گوشی بدون ذره ای نقطه و خط و خش
کمتر از 1 ماه استفاده شده
لوازم پلم
فروش فقط نقد ، معاوضه ندارم",1,NA,mobile,2040000,ایفون 6اس 64 گری در حد آک,NA,NA
87212,True,Tabriz,Wednesday 03AM,گوشی به رنگ سیاه بدون کوچکترین خط وخش میباشد باتمام وسایل جانبی ،باتشکرازدیوار,5,NA,mobile,700000,سونی زد2 سفارش اروپادرحد آک,NA,NA
87378,False,Mashhad,Friday 12PM,دو عدد گوشی یکی سونی خاموش ولی ظاهرش کاملا سالمه قابش استفاده میشه وCCITمدل405فقطLCDشکسته کلید پاورشم نیس بقیه جاهاش سالمه.,4,NA,mobile,-1,سونیMوCCIT405,NA,NA
87519,True,Mashhad,Saturday 05PM,"گوشی فقط سه روز کارکرد قابل استعلام از سایت اپل بدون نقطه 
لوازم جانبی همگی پلمب 
در صورت تعویض فقط با ایفون ٥ اس",0,NA,mobile,2900000,ایفون ٧ مشکی مات ١٢٨,NA,NA
87609,True,Isfahan,Friday 01PM,"گوشی بسیار تمیز بدون خط و خش 
دارای گلس ضد خش و قاب",2,NA,mobile,400000,گوشی گلکسی گرند 2 بسیار تمیز,NA,NA
87686,True,Mashhad,Sunday 05AM,تمیز سالم بالوازم جانبی  وقاب.. مینی2. اندروید.. لمسی.. بدون تعمیرشدگی.. چون همه قطعاتش سالمه,2,NA,mobile,195000,گوشی سامسونگ,NA,NA
87759,False,Isfahan,Wednesday 07PM,بدون هیچ خطو خشی عالی با کارتونو همه چی معاوضه هم ندارم ممنون,2,NA,mobile,1650000,گوشی16گیگ ایفون 6,NA,NA
87844,True,Isfahan,Wednesday 03PM,ال ال ای اصل امریکا قیمت تو بازار ۲۹۵۰,0,NA,mobile,2800000,گوشی اپل ۷، ۱۲۸گیگ روز گلد اک اکتیو نشده,NA,NA
88088,False,Tehran,Monday 02PM,آیفون ٤مشکی ١٦گیگ کاملا سالم در حد نو,0,NA,mobile,500000,آیفون ٤مشکی,NA,NA
